,Training,Noise,Training Error,Testing Error,Time Count
0,80,10,0.09999999999999998,0.09999999999999998,0.0006300000000010186
0,80,10,0.11250000000000004,0.050000000000000044,0.0005309999999951742
0,80,10,0.08750000000000002,0.15000000000000002,0.0006940000000099644
0,80,10,0.11250000000000004,0.15000000000000002,0.0008200000000044838
0,80,10,0.125,0.0,0.000506999999998925
0,80,10,0.07499999999999996,0.25,0.0005960000000015953
0,80,10,0.09999999999999998,0.09999999999999998,0.0005329999999901247
0,80,10,0.09999999999999998,0.09999999999999998,0.0011650000000145155
0,80,10,0.11250000000000004,0.050000000000000044,0.0005689999999844986
0,80,15,0.16249999999999998,0.09999999999999998,0.0005779999999901975
0,80,15,0.13749999999999996,0.19999999999999996,0.0005670000000179698
0,80,15,0.15000000000000002,0.15000000000000002,0.0007030000000156633
0,80,15,0.125,0.25,0.0005740000000002965
0,80,15,0.125,0.19999999999999996,0.0007659999999987122
0,80,15,0.15000000000000002,0.19999999999999996,0.0006209999999953197
0,80,15,0.16249999999999998,0.09999999999999998,0.0005810000000110449
0,80,15,0.16249999999999998,0.09999999999999998,0.0007109999999954653
0,80,15,0.125,0.19999999999999996,0.0008300000000076579
0,80,15,0.125,0.19999999999999996,0.0007010000000207128
0,80,15,0.15000000000000002,0.19999999999999996,0.0004869999999925767
0,80,15,0.16249999999999998,0.09999999999999998,0.0004979999999932261
0,80,15,0.17500000000000004,0.050000000000000044,0.0005800000000135697
0,80,15,0.15000000000000002,0.15000000000000002,0.0004640000000222244
0,80,15,0.13749999999999996,0.19999999999999996,0.0008200000000044838
0,80,15,0.17500000000000004,0.15000000000000002,0.0005240000000128475
0,80,15,0.16249999999999998,0.09999999999999998,0.0005760000000236687
0,80,15,0.15000000000000002,0.15000000000000002,0.0006309999999984939
0,80,15,0.16249999999999998,0.25,0.0005480000000090968
0,80,15,0.13749999999999996,0.19999999999999996,0.0007740000000069358
0,80,15,0.16249999999999998,0.09999999999999998,0.000568000000015445
0,80,15,0.16249999999999998,0.09999999999999998,0.0007180000000062137
0,80,15,0.13749999999999996,0.19999999999999996,0.00046299999999632746
0,80,15,0.15000000000000002,0.15000000000000002,0.000686999999999216
0,80,15,0.16249999999999998,0.19999999999999996,0.00047200000000202635
0,80,15,0.17500000000000004,0.050000000000000044,0.0004749999999944521
0,80,15,0.13749999999999996,0.25,0.0007270000000119126
0,80,15,0.15000000000000002,0.15000000000000002,0.0007489999999847896
0,80,15,0.13749999999999996,0.09999999999999998,0.0006009999999889715
0,80,15,0.16249999999999998,0.09999999999999998,0.0007840000000101099
0,80,20,0.21250000000000002,0.15000000000000002,0.000506999999998925
0,80,20,0.17500000000000004,0.30000000000000004,0.0006759999999985666
0,80,20,0.19999999999999996,0.19999999999999996,0.0009149999999920055
0,80,20,0.17500000000000004,0.30000000000000004,0.0009159999999894808
0,80,20,0.1875,0.19999999999999996,0.0005189999999970496
0,80,20,0.1875,0.30000000000000004,0.0005189999999970496
0,80,20,0.1875,0.25,0.0005980000000249674
0,80,20,0.19999999999999996,0.30000000000000004,0.0007420000000024629
0,80,20,0.17500000000000004,0.25,0.0007260000000144373
0,80,20,0.17500000000000004,0.25,0.00089900000000398
0,80,20,0.21250000000000002,0.19999999999999996,0.0005519999999989977
0,80,20,0.21250000000000002,0.15000000000000002,0.0007870000000025357
0,80,20,0.23750000000000004,0.050000000000000044,0.0006240000000161672
0,80,20,0.1875,0.30000000000000004,0.0004910000000108994
0,80,20,0.19999999999999996,0.19999999999999996,0.0008229999999969095
0,80,20,0.22499999999999998,0.09999999999999998,0.0005039999999780775
0,80,20,0.22499999999999998,0.09999999999999998,0.0005079999999964002
0,80,20,0.19999999999999996,0.30000000000000004,0.00045999999997548
0,80,20,0.22499999999999998,0.25,0.0005099999999913507
0,80,20,0.1875,0.25,0.0004869999999925767
0,80,20,0.21250000000000002,0.15000000000000002,0.0005620000000021719
0,80,20,0.22499999999999998,0.09999999999999998,0.0008009999999956108
0,80,20,0.1875,0.25,0.0005429999999932988
0,80,20,0.19999999999999996,0.19999999999999996,0.0005730000000028213
0,80,20,0.19999999999999996,0.44999999999999996,0.0006879999999966913
0,80,20,0.21250000000000002,0.15000000000000002,0.0008870000000058553
0,80,20,0.1875,0.30000000000000004,0.0009440000000040527
