,Training,Noise,Training Error,Testing Error,Time Count,Weight,Bias,Objective Function,Number of SV
0,80,15,0.16249999999999998,0.25,0.0004650000000054888,[[ 1.11076335 -1.77723534]],-0.7331658031324362,31.355729128043414,36
0,80,15,0.17500000000000004,0.09999999999999998,0.0006419999999991433,[[ 1.30219495 -1.41897998]],-2.828340044676996,36.32050644575008,40
0,80,15,0.13749999999999996,0.25,0.0004959999999982756,[[ 1.18799747 -1.68399964]],-1.2143822176746686,36.753102862130135,38
0,80,15,0.16249999999999998,0.09999999999999998,0.0005239999999986367,[[ 1.53777155 -1.36790688]],-4.174535942858814,40.79217544070706,42
0,80,15,0.17500000000000004,0.050000000000000044,0.0004599999999896909,[[ 1.5364698  -1.23090125]],-4.4967151546954485,43.55437160593345,42
0,80,15,0.17500000000000004,0.09999999999999998,0.000461000000001377,[[ 1.11862562 -1.5390375 ]],-1.3324391545733103,39.85655954202132,41
0,80,15,0.13749999999999996,0.19999999999999996,0.0005730000000028213,[[ 1.42865133 -1.4282294 ]],-3.430024990944569,36.469028837279325,38
0,80,15,0.15000000000000002,0.19999999999999996,0.0004729999999995016,[[ 1.12024835 -1.75949073]],-0.5548361581662266,37.6629550709525,40
0,80,15,0.16249999999999998,0.09999999999999998,0.0004760000000061382,[[ 1.17857355 -1.67857355]],-1.3535699873948488,37.456754670627134,40
0,80,15,0.13749999999999996,0.15000000000000002,0.0007590000000021746,[[ 1.27641149 -1.84271373]],-1.2726387556684837,35.02238543289289,37
0,80,15,0.13749999999999996,0.25,0.000461000000001377,[[ 1.19066941 -1.66527903]],-1.4099170871666677,30.45250914794141,35
0,80,15,0.17500000000000004,0.050000000000000044,0.00047399999999697684,[[ 1.42858553 -1.42855225]],-3.428698224487663,45.469187027217544,45
0,80,15,0.13749999999999996,0.25,0.0006839999999925794,[[ 1.17609188 -1.84904745]],-0.6274435966453639,36.01743277645742,36
0,80,15,0.15000000000000002,0.19999999999999996,0.00045500000000231466,[[ 1.45618086 -1.58988937]],-2.8619051449556054,43.14568405223881,40
0,80,15,0.1875,0.0,0.0006360000000000809,[[ 1.01676758 -1.69459951]],-0.3559668106401019,47.46240682667414,45
0,80,15,0.16249999999999998,0.15000000000000002,0.0008090000000038344,[[ 1.12336409 -1.79877019]],-0.4336932231452,41.03346382472243,40
0,80,20,0.22499999999999998,0.09999999999999998,0.0005259999999935872,[[ 1.36925587 -1.09593176]],-3.928187741523049,57.717752243012605,57
