,Training,Noise,Training Error,Testing Error,Time Count,Weight,Bias,Objective Function
0,60,5,0.050000000000000044,0.050000000000000044,0.0004450000000133514,[[ 0.45274812 -0.40632647]],0.8982503854216249,-1.114247159482447
0,60,10,0.09999999999999998,0.09999999999999998,0.0004720000000588698,[[ 0.40622515 -0.27412349]],0.284430291739024,-1.4819056522979586
0,60,15,0.15000000000000002,0.15000000000000002,0.00048600000002352317,[[ 0.33179581 -0.30018308]],0.4697865364245759,-1.1053114947244675
0,60,20,0.19999999999999996,0.19999999999999996,0.0004910000000108994,[[ 0.43512777 -0.1604673 ]],-0.24085158706920062,-2.7116289726068343
0,60,25,0.21666666666666667,0.30000000000000004,0.00043999999991228833,[[ 0.43172308 -0.16299489]],-0.222159218179917,-2.6486909530616782
0,60,30,0.2833333333333333,0.32499999999999996,0.00048500000002604793,[[ 0.45387079 -0.03999106]],-0.7060959091419586,-11.349305292766882
0,50,0,0.0,0.0,0.0005999999999630745,[[ 0.5446944  -0.63408669]],1.7220782534602446,-0.859021980015108
0,50,5,0.040000000000000036,0.06000000000000005,0.00046799999995528196,[[ 0.62942129 -0.32980676]],0.2871203541340107,-1.9084547746730391
0,50,10,0.07999999999999996,0.12,0.0004659999999603315,[[ 0.44316711 -0.26772213]],0.1967386002133307,-1.655324925537186
0,50,15,0.14,0.16000000000000003,0.0004229999999552092,[[ 0.40506397 -0.2633712 ]],0.23476053363202487,-1.537996433130147
0,50,20,0.18000000000000005,0.21999999999999997,0.00041499999997540726,[[ 0.53377815 -0.06921801]],-0.7412638394308358,-7.711550010062149
0,50,25,0.18000000000000005,0.31999999999999995,0.0003909999999223146,[[ 0.53377815 -0.06921801]],-0.7412638394308358,-7.711550010062149
0,50,30,0.24,0.33999999999999997,0.0004969999999957508,[[0.67308814 0.16248233]],-1.8902570449725775,4.142531204846323
0,80,0,0.0,0.0,0.00044400000001587614,[[ 1.05141362 -0.78218894]],-3.0867935655523584,-1.344193918642497
0,80,5,0.0625,0.0,0.0005670000000463915,[[ 0.53036482 -0.42917323]],-1.3569691031375786,-1.2357826313925888
0,80,10,0.09999999999999998,0.09999999999999998,0.0005449999999882493,[[ 0.4555224  -0.41422881]],-1.0830311007322702,-1.0996878725950798
0,80,15,0.15000000000000002,0.15000000000000002,0.0006029999999555002,[[ 0.38318804 -0.43980073]],-0.5953277663203221,-0.8712764927925651
0,80,20,0.19999999999999996,0.25,0.0005120000000715663,[[ 0.25308188 -0.54242148]],0.4026358996669803,-0.46657790685218803
0,80,25,0.25,0.30000000000000004,0.0005830000000059954,[[ 0.20884253 -0.49364728]],0.5787414001789745,-0.4230602368021556
0,80,30,0.26249999999999996,0.35,0.0005469999999831998,[[ 0.14860212 -0.48863825]],0.788954410463958,-0.30411479784635537
0,70,0,0.0,0.0,0.0003780000000688233,[[ 1.05141362 -0.78218894]],-3.0867935655523584,-1.344193918642497
0,70,5,0.0714285714285714,0.0,0.00046499999996285624,[[ 0.47812879 -0.40014936]],-1.2566494495563367,-1.1948758008751414
0,70,10,0.08571428571428574,0.1333333333333333,0.00045599999998557905,[[ 0.4807203  -0.38445625]],-1.3466854659107905,-1.2503901159053001
0,70,15,0.1428571428571429,0.16666666666666663,0.0005539999999655265,[[ 0.44488795 -0.32780508]],-1.3541666793585467,-1.3571722155573915
0,70,20,0.19999999999999996,0.23333333333333328,0.0004890000000159489,[[ 0.28845314 -0.42695642]],-0.23543478126430015,-0.6756032396275521
0,70,25,0.24285714285714288,0.30000000000000004,0.0005020000000968139,[[ 0.24618378 -0.41394361]],0.012887490204825039,-0.5947278158244189
0,70,30,0.2857142857142857,0.30000000000000004,0.0005199999999376814,[[ 0.17876217 -0.45345598]],0.4895985164234789,-0.3942216558304962
0,60,0,0.0,0.0,0.0003560000000106811,[[ 1.04029214 -0.85729232]],-2.64879333657626,-1.213462571634442
0,60,5,0.08333333333333337,0.0,0.000555999999960477,[[ 0.47410297 -0.42661183]],-1.1061102581256683,-1.1113216730169249
0,60,10,0.09999999999999998,0.09999999999999998,0.00047400000005382026,[[ 0.47226012 -0.37796686]],-1.304675471114049,-1.2494749352173
0,60,15,0.1333333333333333,0.17500000000000004,0.0006060000000616128,[[ 0.45919683 -0.30806074]],-1.5017868133230092,-1.4906048525549234
0,60,20,0.19999999999999996,0.22499999999999998,0.0004630000000815926,[[ 0.29138372 -0.42558927]],-0.25584429019344246,-0.684659460474078
0,60,25,0.23333333333333328,0.275,0.0004750000000512955,[[ 0.31284417 -0.37509578]],-0.45796753892066205,-0.8340381045161686
0,60,30,0.30000000000000004,0.275,0.00047800000004372123,[[ 0.16436023 -0.45603551]],0.5837881199158161,-0.36041103732240315
0,50,0,0.0,0.0,0.0004020000000082291,[[ 1.04012479 -0.85736342]],-2.6475091483839592,-1.2131667553675138
0,50,5,0.09999999999999998,0.0,0.0004129999999804568,[[ 0.47411459 -0.42653549]],-1.1065221758172958,-1.1115478130043661
0,50,10,0.12,0.07999999999999996,0.0004680000000689688,[[ 0.47045266 -0.32700158]],-1.5130434657769563,-1.4386862173982016
0,50,15,0.16000000000000003,0.14,0.00040500000000065484,[[ 0.45946536 -0.29828665]],-1.5469285938530695,-1.5403484118034725
0,50,20,0.24,0.18000000000000005,0.000559999999950378,[[ 0.28611705 -0.41770928]],-0.27041881469808227,-0.6849669371674645
0,50,25,0.28,0.21999999999999997,0.00044000000002597517,[[ 0.29485026 -0.3034137 ]],-0.5264108262840294,-0.9717763553273225
0,50,30,0.38,0.24,0.0004519999999956781,[[ 0.15211681 -0.39752288]],0.5206869388492226,-0.38266177559125936
0,80,0,0.07499999999999996,0.09999999999999998,0.0004920000000083746,[[-1.59073895  0.8277919 ]],4.070283558542187,-1.9216652871068733
0,80,5,0.13749999999999996,0.19999999999999996,0.0004950000000008004,[[-1.06538256  0.7345642 ]],1.212144337553436,-1.4503600389919649
0,80,10,0.1875,0.25,0.0004890000000159489,[[-1.00617546  0.62145917]],1.7720562173982934,-1.619053185454894
0,80,15,0.21250000000000002,0.19999999999999996,0.0005699999999251304,[[-0.94621389  0.47473234]],2.6160866004492127,-1.9931523621332106
0,80,20,0.275,0.19999999999999996,0.000565000000051441,[[-0.75010212  0.44423657]],1.338188741542871,-1.6885195105221749
0,80,25,0.32499999999999996,0.25,0.0005889999999908468,[[-0.62132992  0.3914432 ]],0.7333138415674134,-1.5872798822867298
0,80,30,0.3125,0.4,0.0005629999999428037,[[-0.62494975  0.32489552]],1.2737772963255205,-1.9235406381987816
0,70,0,0.08571428571428574,0.06666666666666665,0.0004549999999881038,[[-1.62099385  0.81662072]],4.367969390655992,-1.9850021069808483
0,70,5,0.1428571428571429,0.1333333333333333,0.0005790000000160944,[[-1.23270276  0.64997158]],3.2547459007143225,-1.8965487018426468
0,70,10,0.19999999999999996,0.19999999999999996,0.0004989999999907013,[[-1.01196368  0.56422282]],2.336790957368905,-1.7935532459352475
0,70,15,0.2142857142857143,0.2666666666666667,0.0005039999999780775,[[-0.96811952  0.53960296]],2.1938566808473836,-1.7941330883007431
0,70,20,0.2857142857142857,0.19999999999999996,0.0004829999999174106,[[-0.78756093  0.44679623]],1.542727528304427,-1.762684829238801
0,70,25,0.27142857142857146,0.2666666666666667,0.0004910000000108994,[[-0.51993909  0.5596584 ]],-1.5007053216164554,-0.9290293729654713
0,70,30,0.3571428571428571,0.4,0.0005029999999806023,[[-0.49339951  0.40191808]],-0.5108615935862763,-1.227612120750988
0,60,0,0.09999999999999998,0.050000000000000044,0.00043599999992238736,[[-1.51284939  0.73373845]],4.359924827669602,-2.061837401936695
0,60,5,0.16666666666666663,0.09999999999999998,0.00042300000006889604,[[-1.06175257  0.58945349]],2.5189760494629847,-1.8012490989681482
