,Training,Noise,Training Error,Testing Error,Time Count,Weight,Bias,Objective Function,Number of SV
0,60,30,0.281524926686217,0.3201754385964912,10.588591000000008,"[[ 2.15092947 -0.02848847 -0.19773924 -0.0082469  -0.01399365 -0.23483718
  -0.1484465  -0.21087693 -0.78683509 -0.01775283 -0.05125343 -0.24175731
   0.66597988 -0.03773619 -0.03924837  0.07841837  0.3729832   0.05537125
  -0.0852344   0.01470448 -1.21038693  0.02166574 -0.01345019  0.01066234
  -0.15125589 -0.85015101 -0.33544477 -0.23103596 -0.97730352 -0.09445738]]",5.965909330668675,206.8767585683451,234
0,50,0,0.028169014084507005,0.04210526315789476,0.09160700000001043,"[[ 0.62943163  0.1182673  -0.33912658  0.03265156 -0.12372856 -0.14431311
  -0.45384455 -0.19842308 -0.24398743 -0.02927704 -0.07835262  0.7381462
   0.79648469 -0.06771403 -0.03050218 -0.02267636 -0.12364617 -0.02513586
  -0.07307565 -0.00574139 -0.20779722 -0.26104534 -0.09008968 -0.01229137
  -0.27658294 -0.3945412  -1.07131658 -0.31303025 -0.75680121 -0.08104782]]",30.3099653320542,23.215762099038102,27
0,50,5,0.05633802816901412,0.10175438596491226,1.151443999999998,"[[ 0.61141115  0.02873349 -0.03764135  0.00253779 -0.12239516 -0.10019497
  -0.57653953 -0.2497718  -0.37604902 -0.04351226 -0.24424926  0.27993653
   0.20335495 -0.02684383 -0.02935756 -0.03851332 -0.09036744 -0.02246126
  -0.12701673 -0.0152223  -0.24847288 -0.10296764 -0.05791148 -0.00200959
  -0.21929511 -0.58200445 -1.47523665 -0.39259557 -1.09082953 -0.19874424]]",8.838607296686902,46.710594921205555,58
0,50,10,0.07042253521126762,0.1719298245614035,4.170107000000002,"[[ 0.14075935  0.00796761  0.13881198 -0.00819448 -0.1313841  -0.05619555
  -0.66213135 -0.28421097 -0.47024563 -0.02937639 -0.34085049  0.01026898
   0.34302585 -0.02164161 -0.01927349 -0.02177843 -0.10608705 -0.01082929
  -0.09910143 -0.01028153 -1.1869695  -0.05085277 -0.12958866  0.01398492
  -0.18723838 -0.57516751 -1.96510692 -0.45632647 -1.07852727 -0.20753893]]",14.66713488653133,83.10952280308575,82
0,50,15,0.15492957746478875,0.19649122807017538,6.495873999999986,"[[ 0.83992591 -0.00654964 -0.07491428  0.00158553  0.03158931 -0.12532226
  -0.42639564 -0.17455732 -0.49163575 -0.03997312 -0.30578889  0.15456475
   0.18970898 -0.02055492 -0.02719958 -0.07739233  0.12653529  0.0625257
  -0.13391207 -0.01696941 -1.05807035 -0.02329992 -0.0110217   0.00568713
  -0.00136869 -0.82010769 -1.22012748 -0.07802654 -1.21690533 -0.22203165]]",9.963019662211398,99.83198611751695,117
0,50,20,0.204225352112676,0.23508771929824557,8.821062000000012,"[[ 1.26546474e+00  6.79980591e-02 -1.02114027e-01 -4.89122346e-03
   7.60745415e-02 -1.25195165e-01 -2.28769107e-01 -1.36625765e-01
  -5.38668914e-01 -2.94514415e-02 -2.43210751e-01  1.39376826e-01
  -7.58262239e-02 -3.37634465e-03 -4.71718712e-02 -3.82919245e-02
   2.51589316e-01  5.29105853e-02 -1.16499763e-01 -3.20814310e-03
  -9.17291742e-01 -8.66164587e-02  3.06829037e-04  5.93779824e-03
  -6.45541172e-02 -5.74812951e-01 -1.66065519e-01 -2.63170814e-02
  -1.10877587e+00 -1.79730749e-01]]",6.588464053695553,146.15683459502594,157
0,50,25,0.27464788732394363,0.2947368421052632,11.585252999999994,"[[ 1.75609277e+00 -3.72175652e-05 -2.41319694e-01  4.84063437e-04
   6.15287341e-02 -1.20766391e-01 -3.02263225e-01 -2.43924940e-01
  -5.32229401e-01 -8.92405173e-03 -2.60626821e-01 -3.08469776e-01
   2.93515314e-01 -1.02009413e-02 -3.62014247e-02  5.50010619e-02
   2.59895111e-01  5.36677710e-02 -1.00520559e-01  9.82683179e-03
  -4.62675641e-01 -1.07535884e-02 -2.26899290e-02  2.73964832e-03
  -1.44095365e-02 -9.82571339e-02 -3.52643325e-02 -5.48910136e-02
  -8.72838246e-01 -9.06092065e-02]]",5.745497293018878,157.96129281869048,178
0,50,30,0.29929577464788737,0.3192982456140351,14.53588099999999,"[[ 1.75879776e+00  2.52924378e-02 -2.24525361e-01 -1.57563766e-03
   3.11874954e-02 -1.07036006e-01 -1.85689103e-01 -1.93158078e-01
  -6.25022556e-01 -4.93083020e-03 -2.56263436e-01 -2.37069324e-01
   2.93172795e-01 -1.54481337e-02 -3.44935637e-02  6.56286518e-02
   2.28477458e-01  5.89293303e-02 -1.42441223e-01  7.64847975e-03
  -6.06683866e-01 -2.04437741e-02 -2.37646131e-02  5.05428046e-03
  -1.69576796e-03  2.38333698e-01  1.66765692e-02 -6.15808900e-03
  -1.12692771e+00 -2.06056672e-02]]",5.690384261126774,181.76044096973501,203
0,80,0,0.03076923076923077,0.03508771929824561,0.5016500000000121,"[[ 1.10763406e+00  2.05801827e-02 -3.66398520e-02 -7.44320495e-04
  -2.55795460e-01 -2.62791140e-01 -6.22939425e-01 -3.76175984e-01
  -3.64406469e-01 -4.01019717e-02 -4.68649138e-02  6.61474972e-01
  -3.03592000e-02 -3.28002872e-02 -2.88045854e-02  9.98545392e-02
   2.78488197e-02 -2.65731441e-02 -5.89354235e-02  2.20647662e-02
   1.16059439e-01 -1.75425746e-01 -5.86410231e-02 -8.95236357e-03
  -4.77766427e-01 -7.08953901e-01 -1.55400558e+00 -6.41395094e-01
  -1.08009125e+00 -1.02065992e-01]]",5.994382245723663,37.480677790175214,47
0,80,5,0.08571428571428574,0.06140350877192979,4.129537999999997,"[[ 1.09590784  0.04459362 -0.05677615 -0.00587577 -0.39103994 -0.04305804
  -0.98411973 -0.71883553 -0.11243222 -0.01460604 -0.51636092 -0.07925489
   0.13671328 -0.01025886 -0.03989861  0.37822152  0.38737031 -0.0498693
   0.01009158  0.04194085 -0.66225499 -0.09873751 -0.03558229  0.00483688
  -0.7486381   0.25746757 -1.23446895 -1.06972297 -0.24670193 -0.0111647 ]]",6.999392762091585,120.02856559305803,139
0,80,10,0.15164835164835166,0.08771929824561409,22.300426000000016,"[[ 0.98559456  0.03945599  0.02140418 -0.0100887  -0.49942311 -0.15870566
  -0.83563251 -0.68319443 -0.31567422 -0.05604205 -0.5874184   0.1702438
   0.15486475 -0.01742302 -0.04803242  0.32256583  0.57829334 -0.02010058
  -0.02349427  0.03567392 -0.71589258 -0.0809411  -0.03273253  0.00580445
  -0.91469745  0.17755218 -1.1017008  -0.84305607 -0.62637062 -0.12014512]]",3.476168551086994,177.50456630444182,197
0,80,15,0.18241758241758244,0.11403508771929827,16.24130600000001,"[[ 1.44038275  0.05529786 -0.05930798 -0.00861604 -0.51062577 -0.18448513
  -1.09141901 -0.69920507 -0.32641855 -0.11359498 -0.70215141 -0.19453624
   0.6307233  -0.04613474 -0.02521807  0.36520027  0.08201332 -0.04820939
  -0.02147334  0.01521183 -0.61742635 -0.06804418 -0.06729375  0.00733482
  -0.86747687  0.498105   -0.9845043  -0.74328688 -0.62584908 -0.10784703]]",3.747868895695846,221.83222534281745,239
0,80,20,0.22197802197802197,0.21052631578947367,16.381434999999954,"[[ 1.36688809  0.05009653 -0.07164519 -0.00661943 -0.41783185 -0.13762054
  -0.9673204  -0.54128038 -0.23321926 -0.11921648 -0.61954545 -0.02469077
   0.40065445 -0.03570611 -0.02817727  0.22446261 -0.07355457 -0.07514834
  -0.01137127 -0.01925994 -0.75536104 -0.07957599 -0.03646181  0.00636534
  -0.69743629  0.78620258 -0.71123992 -0.39198444 -0.3030825  -0.10839056]]",4.398114228615918,247.64761955998762,259
0,80,25,0.2681318681318682,0.2543859649122807,11.882850000000019,"[[ 1.46137600e+00  2.89562881e-02 -1.81324248e-01 -1.03541386e-03
  -2.38398535e-01  1.15580051e-01 -8.27406888e-01 -3.93017901e-01
   1.52749492e-03 -5.33482314e-02 -8.33200602e-01  2.06091283e-01
   8.55763953e-02 -1.76728272e-02 -2.09335242e-02  2.47966945e-01
   5.40957704e-02 -2.29411599e-02  1.70598846e-02 -3.61767720e-02
  -1.11969538e+00 -7.57341677e-02  7.98197958e-02  3.91206704e-03
  -5.31764162e-01  3.87170241e-01 -1.22531319e+00 -2.83814982e-01
  -2.85282705e-01 -1.63535883e-01]]",5.511120282622325,281.0592490524898,298
0,80,30,0.3098901098901099,0.2894736842105263,10.693173999999999,"[[ 1.53670626  0.03713338 -0.14513701 -0.00269086 -0.19468251 -0.00233507
  -0.70287611 -0.30191347 -0.14295564 -0.07119455 -1.08801272 -0.18560341
   0.41227106 -0.02205058 -0.03604309  0.02442603 -0.07700223 -0.02429235
  -0.0116062  -0.06738638 -0.97702872 -0.0481231   0.00942055  0.00547403
  -0.52105499  0.40581591 -0.56172412  0.0261299  -0.08262798 -0.1253366 ]]",4.783583474189802,300.23385777575777,326
0,70,0,0.025125628140703515,0.05847953216374269,0.8373469999999656,"[[ 1.57737423e+00  1.04183409e-01 -1.71469377e-01  4.83266472e-04
  -2.04510968e-01 -3.57741705e-01 -6.95529510e-01 -3.75290944e-01
  -3.65668254e-01 -5.48490176e-02 -1.12242536e-01  7.82101375e-01
   3.49937648e-01 -4.17503350e-02 -3.87294819e-02 -2.87032560e-02
  -6.61878706e-02 -3.73365192e-02 -1.29118939e-01 -2.77186046e-03
  -8.49179852e-01 -2.18800020e-01 -3.02722735e-04 -1.04382629e-03
  -4.00247570e-01 -7.31289937e-01 -1.36084025e+00 -5.24209836e-01
  -1.11959413e+00 -1.11004332e-01]]",12.902943736847362,30.337606666016416,39
