,Training,Noise,Training Error,Testing Error,Time Count,Weight,Bias,Objective Function,Standard Deviation
0,80,0,0.0,0.0,0.0003969999999995366,[[0.25205855 0.42230495]],-3.639329241562639,0.12093749106676072,0.1
0,80,0,0.0,0.0,0.0003839999999968313,[[0.28935573 0.48467301]],-4.212221861617078,0.1593173329028672,0.3
0,80,0,0.0,0.0,0.0004350000000030718,[[0.31384433 0.52249544]],-4.564686942876506,0.18574987441569668,0.4
0,80,0,0.0,0.0,0.00041699999999877946,[[ 0.09863293 -0.26412264]],0.9909452762234059,0.03974461221514453,0.0001
0,80,0,0.0,0.0,0.0004099999999951365,[[ 0.10285297 -0.27990078]],1.0762195653433966,0.04446159044042258,0.1
0,80,0,0.0,0.0,0.000408000000000186,[[ 0.1122858  -0.31781038]],1.2842276486819213,0.05680576937395437,0.3
0,80,0,0.0,0.0,0.0004429999999970846,[[ 0.11752643 -0.34083722]],1.4126777236001171,0.06499123749486266,0.4
0,80,0,0.0,0.0,0.00045899999999932106,[[ 0.03445111 -0.41429335]],1.5673356043732465,0.08641292830809402,0.0001
0,80,0,0.0,0.0,0.00041900000000083537,[[ 0.02456454 -0.45308431]],1.8353805558195244,0.10294440544206757,0.1
0,80,0,0.0,0.0,0.00037099999999412603,[[-0.01241286 -0.55299367]],2.646123936346505,0.15297803763312137,0.3
0,80,0,0.0,0.0,0.0006460000000032551,[[-0.04618516 -0.61734202]],3.272229447024028,0.19162211674939503,0.4
0,80,0,0.0,0.0,0.00044700000000119644,[[-0.23338775 -0.15645096]],1.9417170791323812,0.03947337234031176,0.0001
0,80,0,0.0,0.0,0.0006759999999985666,[[-0.25671373 -0.16184049]],2.103602498709793,0.046047142070145514,0.1
0,80,0,0.0,0.0,0.00041699999999877946,[[-0.31761625 -0.16963553]],2.5005009334086767,0.06482814656889321,0.3
0,80,0,0.0,0.0,0.0004040000000031796,[[-0.35767592 -0.1699732 ]],2.741853817652447,0.07841147542741096,0.4
0,80,0,0.0,0.0,0.00041299999999466763,[[0.3233613  0.18953729]],-2.9801702438503996,0.0702434556893046,0.0001
0,80,0,0.0,0.0,0.00037899999999524425,[[0.34231891 0.21088318]],-3.2147688926646234,0.08082697577674747,0.1
0,80,0,0.0,0.0,0.0007450000000019941,[[0.3856139  0.26782609]],-3.803847609452813,0.11021444756888751,0.3
0,80,0,0.0,0.0,0.0004020000000011237,[[0.42054753 0.29201093]],-4.139335380646198,0.13106530324140492,0.4
0,80,0,0.0,0.0,0.0003649999999950637,[[0.62722989 0.10818597]],-4.551475043911571,0.20256076681816512,0.0001
0,80,0,0.0,0.0,0.00040100000000364844,[[0.76673757 0.15548758]],-5.724930961849252,0.3060314430624169,0.1
0,80,0,0.0,0.0,0.0005220000000036862,[[1.32274743 0.45584267]],-11.317298889160156,0.9787266515456438,0.3
0,80,0,0.0,0.0,0.0004330000000010159,[[1.24789146 0.26175731]],-9.153024194462043,0.8128749882940576,0.4
0,80,0,0.0,0.0,0.0004940000000033251,[[-0.30847057 -0.08357384]],1.7178382509349501,0.05106934088880787,0.0001
0,80,0,0.0,0.0,0.00045099999999820284,[[-0.33171583 -0.09914374]],1.8822106899429234,0.05993243611733941,0.1
0,80,0,0.0,0.0,0.00045899999999932106,[[-0.38798714 -0.14493744]],2.3200357138140344,0.08577044251962913,0.3
0,80,0,0.0,0.0,0.00043600000000054706,[[-0.421616   -0.17918695]],2.6155200569834545,0.10493400654672638,0.4
0,80,0,0.0,0.0,0.0004099999999951365,[[-0.18519833  0.11206148]],0.28042188252665573,0.023428097451357155,0.0001
0,80,0,0.0,0.0,0.0005279999999956431,[[-0.19172994  0.12162754]],0.26129998430382867,0.025776814149372208,0.1
0,80,0,0.0,0.0,0.00040500000000065484,[[-0.20530325  0.14484612]],0.20529666697854543,0.03156491130519114,0.3
0,80,0,0.0,0.0,0.0003819999999947754,[[-0.21215006  0.15897569]],0.1652174283901392,0.03514045910616478,0.4
0,80,0,0.0,0.0,0.0004570000000043706,[[ 0.07960973 -0.91443509]],1.968815735289013,0.42126462289883887,0.0001
0,80,0,0.0,0.0,0.00041699999999877946,[[ 0.08878595 -1.1621392 ]],2.548952022088525,0.6792252335493514,0.1
0,80,0,0.0,0.0,0.0006909999999962224,[[ 0.05666538 -1.99191886]],5.074097849937348,1.985475848273647,0.3
0,80,0,0.0,0.0,0.0005369999999942365,[[ 0.05402624 -2.20347004]],5.482913970947266,2.429099530259439,0.4
0,80,0,0.0,0.0,0.0005130000000050927,[[0.4115637 0.0244434]],-2.4114693876722884,0.08499108127342765,0.0001
0,80,0,0.0,0.0,0.0004219999999932611,[[0.44826174 0.02551079]],-2.614221523149375,0.1007946942058392,0.1
0,80,0,0.0,0.0,0.0006110000000063565,[[0.54556849 0.02745281]],-3.1437109774895613,0.14919931617010032,0.3
0,80,0,0.0,0.0,0.0009549999999975967,[[0.61196183 0.02804369]],-3.4983921855923343,0.18764186197764937,0.4
0,80,0,0.0,0.0,0.0004249999999998977,[[-0.14061073  0.26982813]],-0.7979907108805215,0.04628929928181232,0.0001
0,80,0,0.0,0.0,0.0004059999999981301,[[-0.1503374   0.28878337]],-0.8515795264186254,0.05299858560709002,0.1
0,80,0,0.0,0.0,0.00043199999999643524,[[-0.17451204  0.33600697]],-0.9854508813534602,0.07167756817782334,0.3
0,80,0,0.0,0.0,0.0003969999999995366,[[-0.18976897  0.36592586]],-1.0707120942468629,0.08495699702502343,0.4
0,80,0,0.0,0.0,0.0004059999999981301,[[ 0.5209557  -0.60836519]],0.442984583920512,0.3207515252220223,0.0001
0,80,0,0.0,0.0,0.00042699999999484817,[[ 0.63282063 -0.80089065]],0.7758110868078201,0.5209438917286559,0.1
0,80,0,0.0,0.0,0.0006400000000041928,[[ 1.0314713  -1.35325497]],1.2500154486464168,1.4476160243893421,0.3
0,80,0,0.0,0.0,0.00040500000000065484,[[ 1.20916986 -1.62992613]],1.6500558853149414,2.059375465662209,0.4
0,80,0,0.0,0.0,0.00046400000000090813,[[ 0.44001848 -1.19695932]],8.16784236090011,0.8131639410648828,0.0001
0,80,0,0.0,0.0,0.0006850000000042655,[[ 0.36495773 -1.54554008]],10.71548314904754,1.2609441402799442,0.1
0,80,0,0.0,0.0,0.0007510000000010564,[[ 0.20258356 -2.08874996]],14.695291519165039,2.2019582368090633,0.3
0,80,0,0.0,0.050000000000000044,0.0007510000000010564,[[ 0.28674585 -2.26264682]],15.921872000688582,2.60089691726364,0.4
0,80,0,0.0,0.0,0.0010859999999937031,[[-0.86667006 -0.11836072]],3.334818829760978,0.3825631298502706,0.0001
0,80,0,0.0,0.0,0.0005409999999983484,[[-1.07262033 -0.3558021 ]],4.72168435458692,0.6385547548519939,0.1
0,80,0,0.0,0.0,0.0006199999999978445,[[-1.57185816 -0.86228666]],7.809290183184684,1.6071381874473332,0.3
0,80,0,0.0,0.0,0.0007680000000007681,[[-1.49928953 -0.72771854]],7.3874688561564525,1.3887216901126194,0.4
0,80,0,0.0,0.0,0.0004139999999992483,[[ 0.17194385 -0.35238971]],-0.13258578271851862,0.07687159839464053,0.0001
